Trip_Distance_km,Passenger_Count,Base_Fare,Per_Km_Rate,Per_Minute_Rate,Trip_Duration_Minutes,Time_of_Day_Afternoon,Time_of_Day_Evening,Time_of_Day_Morning,Time_of_Day_Night,Day_of_Week_Weekday,Day_of_Week_Weekend,Traffic_Conditions_High,Traffic_Conditions_Low,Traffic_Conditions_Medium,Weather_Clear,Weather_Rain,Weather_Snow,Trip_Price
30.98,1.0,4.5,0.84,0.25,57.02,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,44.7782
7.84,4.0,3.73,0.82,0.3,53.8,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,26.2988
105.94355,2.0,3.94,1.69,0.32,23.03,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,201.8695092
18.95,1.0,3.38,0.78,0.39,54.04,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,39.2366
23.35,3.0,3.59,0.6,0.24,66.8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,33.632
39.47,1.0,3.51,1.22,0.35,7.59,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,83.6965
10.78,3.0,3.92,0.54,0.33,56.07,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,28.2443
138.0983279,4.0,2.24,1.75,0.32,94.86,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,280.8773016
30.03,1.0,3.31,1.05,0.36,83.21,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,64.7971
3.28,2.0,2.88,1.76,0.2,78.04,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,24.2608
30.77,1.0,3.64,1.33,0.13,109.6,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,58.8121
9.36,1.0,2.4,1.85,0.15,7.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.7765
47.5,2.0,4.39,0.51,0.3,95.55,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,57.28
48.32,2.0,2.49,0.61,0.44,67.25,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,61.5552
40.61,1.0,2.31,0.88,0.38,42.25,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,54.1018
15.93,2.0,2.44,1.5,0.42,20.67,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,35.0164
5.79,4.0,4.63,1.83,0.24,107.07,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,40.9225
34.53,3.0,3.58,1.22,0.26,59.14,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,60.0471
22.57,1.0,3.4,1.41,0.29,105.98,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,62.7785
6.98,2.0,2.32,0.78,0.18,72.37,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,20.791
25.26,2.0,3.95,1.71,0.12,82.53,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,57.0482
2.69,4.0,4.6,1.95,0.34,97.49,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,42.9921
45.56,2.0,3.51,0.9,0.5,80.8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,85.884
13.68,3.0,3.88,1.22,0.17,50.78,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,29.4758
33.46,2.0,2.23,0.63,0.12,64.07,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,30.9982
16.27,1.0,2.34,1.22,0.41,97.35,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,64.0553
26.48,3.0,2.15,1.25,0.2,47.97,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,44.844
27.79,2.0,2.77,0.72,0.43,49.63,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,44.1197
10.06,2.0,2.41,1.16,0.38,16.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,20.1596
48.51,3.0,3.51,1.0,0.48,110.18,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,104.1764
38.98,3.0,3.16,1.28,0.26,15.47,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,57.0766
47.04,4.0,4.83,1.38,0.36,79.54,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,98.3796
44.85,1.0,3.83,0.51,0.29,52.52,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,41.9343
30.3,1.0,4.5,1.64,0.35,51.65,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,72.2695
46.17,4.0,4.13,1.57,0.28,83.15,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,99.8989
5.34,2.0,2.34,1.22,0.18,12.72,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10.2366
10.6,3.0,4.21,1.22,0.3,73.28,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.342
3.22,3.0,2.83,1.63,0.31,93.78,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,37.1504
16.94,3.0,3.92,1.93,0.42,100.24,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,78.715
20.05,2.0,3.02,0.86,0.39,24.61,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,29.8609
14.3,3.0,4.99,0.99,0.37,108.2,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,59.181
41.61,3.0,2.79,0.78,0.15,61.57,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,47.3148
18.48,4.0,2.84,1.37,0.39,106.41,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,69.6575
146.0670472,2.0,4.79,0.73,0.3,60.81,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,320.9586636
27.59,1.0,2.07,1.03,0.46,67.33,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,61.4595
7.91,4.0,4.09,1.55,0.47,110.69,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,68.3748
40.31,4.0,4.18,1.34,0.12,108.49,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,71.2142
4.65,1.0,4.51,1.08,0.43,56.54,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,33.8442
49.36,4.0,4.92,1.13,0.12,36.56,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,65.084
38.84,2.0,4.93,1.34,0.25,50.21,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,69.5281
10.74,3.0,2.2,0.51,0.32,49.59,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.5462
1.27,2.0,4.47,0.62,0.16,37.99,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.3358
40.96,1.0,3.94,1.82,0.4,35.89,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,92.8432
35.64,1.0,3.94,0.62,0.1,104.02,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,36.4388
36.72,2.0,2.39,1.56,0.17,13.03,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,61.8883
38.79,2.0,3.95,1.88,0.33,82.93,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,104.2421
4.63,2.0,4.95,0.91,0.39,24.87,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.8626
18.56,1.0,4.74,1.22,0.47,44.62,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,45.385
6.68,2.0,3.32,1.35,0.38,12.08,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,16.9284
43.29,1.0,2.12,1.82,0.37,36.05,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,94.2463
31.54,2.0,3.09,1.91,0.26,93.37,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,87.6076
17.21,2.0,4.48,1.61,0.1,106.78,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,42.8661
4.11,2.0,4.1,0.63,0.15,30.48,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,11.2613
25.87,1.0,3.38,1.5,0.31,58.31,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.8161
16.93,4.0,2.17,1.12,0.37,59.09,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,42.9949
36.75,2.0,3.28,1.21,0.27,105.46,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,76.2217
25.87,1.0,3.41,0.57,0.39,92.72,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,57.9476
44.47,1.0,4.79,0.79,0.31,64.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,59.7613
24.14,2.0,3.92,1.69,0.29,82.14,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,55.3948
6.86,2.0,2.93,1.18,0.18,102.45,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,29.4658
35.95,4.0,3.58,0.95,0.44,6.1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,40.4165
38.28,1.0,3.51,1.08,0.39,51.33,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,63.5611
28.5,1.0,4.92,1.78,0.46,109.33,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,105.9418
25.87,1.0,3.43,0.91,0.5,67.43,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,60.077
26.61,4.0,3.07,0.68,0.18,65.91,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,33.0286
21.95,3.0,4.05,0.88,0.1,44.99,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,27.865
2.25,3.0,3.99,1.88,0.5,61.57,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,40.65
6.29,3.0,4.15,1.37,0.21,80.37,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,29.645
2.54,2.0,2.8,1.3,0.37,53.11,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,25.7527
32.18,2.0,2.95,1.39,0.17,87.13,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,62.4923
16.4,1.0,2.38,1.05,0.33,104.04,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,53.9332
25.92,3.0,3.97,1.71,0.46,22.79,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,58.7766
45.47,4.0,2.12,1.28,0.23,56.93,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,73.4155
13.22,2.0,3.79,0.68,0.37,51.92,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,31.99
21.11,4.0,4.61,0.69,0.18,84.06,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,34.3067
38.02,4.0,3.51,1.31,0.35,33.73,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,66.2817
112.8309583,2.0,3.35,1.9,0.23,78.63,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,233.0082852
102.7475562,2.0,2.23,1.8,0.23,53.09,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,274.5350868
25.87,2.0,4.01,1.65,0.17,109.77,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,37.3559
46.56,3.0,4.46,0.87,0.46,119.21,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,99.8038
40.6,3.0,2.73,0.55,0.26,17.2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,29.532
32.04,3.0,3.26,0.65,0.2,31.8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,30.446
43.7,3.0,4.52,1.59,0.28,114.29,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,106.0042
40.38,1.0,3.51,0.8,0.23,115.21,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,63.4323
10.14,3.0,2.73,1.06,0.4,16.24,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,19.9744
44.74,2.0,3.65,1.25,0.49,6.72,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,62.8678
27.43,4.0,2.58,1.59,0.28,23.53,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,52.7821
40.56,3.0,2.31,0.67,0.44,119.54,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,82.0828
44.91,1.0,4.73,1.11,0.33,25.7,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,63.0611
6.39,4.0,4.28,1.31,0.38,102.57,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,51.6275
12.17,4.0,2.15,1.73,0.31,7.35,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,25.4826
21.93,3.0,4.53,0.76,0.29,74.52,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,48.024
41.08,4.0,3.31,1.71,0.46,36.86,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,90.5124
43.18,3.0,3.03,1.54,0.29,104.17,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,98.6948
1.34,3.0,3.64,1.33,0.46,37.6,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,22.7182
26.03,2.0,2.27,1.55,0.4,83.98,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,76.2085
21.45,2.0,4.27,1.12,0.3,82.54,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.056
11.88,1.0,3.75,0.71,0.34,30.47,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,22.5446
6.87,2.0,2.56,1.5,0.23,9.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,14.935
17.54,2.0,2.56,1.29,0.49,52.06,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,50.696
25.87,3.0,2.55,1.46,0.37,38.26,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,85.6182
16.84,2.0,2.17,1.01,0.12,98.03,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,30.942
26.42,3.0,3.76,1.86,0.23,97.04,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,75.2204
25.87,3.0,4.52,1.38,0.35,57.56,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,73.587
18.82,2.0,2.05,0.63,0.12,74.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,22.8766
48.62,1.0,2.15,1.17,0.11,74.49,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,67.2293
48.16,1.0,3.72,1.63,0.28,100.12,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,110.2544
109.616082,4.0,4.46,1.69,0.23,53.88,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,327.2176655
25.87,4.0,2.98,1.24,0.28,36.68,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,44.7092
15.74,2.0,3.05,1.84,0.21,35.48,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,39.4624
14.96,1.0,3.79,0.9,0.17,66.66,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,28.5862
2.81,3.0,2.82,1.12,0.38,56.65,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,27.4942
30.87,4.0,2.08,1.85,0.31,55.61,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,76.4286
25.63,3.0,4.21,1.22,0.18,15.48,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,54.1556
3.52,4.0,3.88,1.53,0.23,87.64,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,29.4228
14.65,2.0,3.74,1.79,0.29,29.58,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,40.0207
45.51,1.0,4.23,0.63,0.13,27.65,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.4958
12.74,4.0,4.03,1.8,0.16,52.47,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,35.3572
8.1,1.0,2.62,0.98,0.13,31.19,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,14.6127
24.98,3.0,3.06,0.77,0.42,72.14,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,52.5934
49.3,2.0,2.38,0.86,0.4,47.72,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,63.866
12.86,1.0,2.39,1.13,0.4,56.62,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,39.5698
33.93,2.0,3.51,0.88,0.39,66.77,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,59.9287
38.32,1.0,4.58,0.98,0.37,28.41,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,52.6453
12.64,3.0,3.51,0.7,0.29,22.91,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.3819
36.68,3.0,3.89,0.94,0.36,106.25,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,76.6192
19.02,2.0,2.55,1.36,0.12,54.88,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.0028
31.98,3.0,2.32,1.16,0.35,52.39,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,57.7533
32.04,4.0,4.44,1.02,0.41,9.1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,40.8518
27.25,1.0,3.74,1.62,0.3,61.57,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,66.566
5.42,3.0,3.85,1.84,0.24,68.73,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,30.318
41.93,4.0,4.34,1.64,0.21,69.27,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,87.6519
25.87,2.0,4.11,1.0,0.36,86.31,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,51.9016
3.0,2.0,2.17,0.73,0.45,34.01,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,19.6645
29.95,2.0,4.24,0.7,0.24,98.23,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,48.7802
34.2,1.0,4.55,1.02,0.41,113.92,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,86.1412
1.81,1.0,2.86,1.71,0.32,20.63,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12.5567
26.09,4.0,3.92,0.87,0.45,62.23,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,54.6218
12.1,2.0,3.51,0.59,0.31,61.57,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,19.2643
32.61,1.0,3.51,0.7,0.31,11.91,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,31.3891
9.54,1.0,2.1,1.79,0.33,42.43,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,33.1785
34.86,4.0,3.74,1.45,0.4,21.52,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,62.895
7.74,1.0,3.51,1.29,0.12,21.54,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,15.0994
17.71,4.0,2.71,1.48,0.48,6.06,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,31.8296
6.56,3.0,3.48,0.85,0.31,97.94,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,39.4174
46.31,1.0,4.74,1.8,0.35,61.57,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,96.939
43.99,2.0,2.64,0.96,0.29,74.71,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,66.5363
13.64,4.0,2.43,1.54,0.14,43.75,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,29.5606
33.34,1.0,4.28,0.52,0.41,72.33,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,51.2721
